"listing_value","tweets_Name","tweets_Date","tweets_Retweets","tweets_Likes","tweets_Text","tweets_Replies","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Mar 20, 2011","332","22","Italy is sending four Tornado warplanes and four F-16s to help patrol the no-fly zone in #Libya. http://on.cnn.com/htpuhQ","","","","","1"
"","CNN Breaking News","Mar 20, 2011","266","18","Russia urges coalition to stop using force in #Libya, calling U.N. no-fly zone resolution a ""controversial step."" http://on.cnn.com/htpuhQ","","","","","1"
"","CNN Breaking News","Mar 20, 2011","195","14","Japan health ministry restricts vegetable sales from area near nuclear power plant damaged by #quake and tsunami. http://on.cnn.com/h4j5sf","","","","","1"
"","CNN Breaking News","Mar 20, 2011","200","13","Coalition forces have taken out most of #Libya air defense systems, Joint Chiefs of Staff Adm. Mike Mullen says. http://on.cnn.com/gJY0cp","","","","","1"
"","CNN Breaking News","Mar 20, 2011","172","12","Forces loyal to Gadhafi shelling city of Misrata, #Libya, using tanks, artillery and cannons, witness says. http://on.cnn.com/hDqOjR","","","","","1"
"","CNN Breaking News","Mar 20, 2011","82","10","Adm. Mullen: No-fly zone 'effectively in place' in #Libya. http://on.cnn.com/htpuhQ","","","","","1"
"","CNN Breaking News","Mar 20, 2011","156","12","Military convoy near Benghazi, #Libya, destroyed by airstrikes, leaving charred bodies, tanks and trucks. http://on.cnn.com/htpuhQ","","","","","1"
"","CNN Breaking News","Mar 20, 2011","878","46","Grandmother, 81, grandson, 16, rescued after being trapped 9 days in home by Japan #quake, officials say. http://on.cnn.com/h4j5sf","","","","","1"
"","CNN Breaking News","Mar 20, 2011","166","27","Yemen's minister of human rights resigns after deadly crackdown on protesters, official in her office says. http://on.cnn.com/gi68dt","","","","","1"
"","CNN Breaking News","Mar 20, 2011","472","38","19 U.S. warplanes, including stealth bombers and fighter jets, in strike operations in #Libya Sunday. http://on.cnn.com/htpuhQ","","","","","1"
"","CNN Breaking News","Mar 20, 2011","1.1K","32","Wyclef Jean was shot in the hand Saturday in Port Au Prince, Haiti, hours before presidential runoff.","","","","","1"
"","CNN Breaking News","Mar 20, 2011","116","13","#Gadhafi defiant as airstrikes by coalition forces enter second day http://on.cnn.com/hDqOjR","","","","","1"
"","CNN Breaking News","Mar 20, 2011","542","36","Up to 15,000 dead bodies may be in Japan's Miyagi prefecture alone, police say. http://on.cnn.com/h4j5sf","","","","","1"
"","CNN Breaking News","Mar 20, 2011","350","30","Radioactive gas must be released to reduce rising pressure in No. 3 nuclear reactor, #Japanese officials say. http://on.cnn.com/f3sz0q","","","","","1"
"","CNN Breaking News","Mar 20, 2011","188","20","A defiant Moammar #Gadhafi vows to fight back against undeserved ""naked aggression"" against his forces in #Libya. http://on.cnn.com/htpuhQ","","","","","1"
"","CNN Breaking News","Mar 20, 2011","733","34","#Japan #quake, #tsunami death toll passes 7,700; 11,651 missing. http://on.cnn.com/fAVZuj","","","","","1"
"","CNN Breaking News","Mar 20, 2011","108","6","Tripoli woman says she heard blast at nearby #Libya air base. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 20, 2011","163","14","RAF jets strike #Libya after 3,000-mile flight from UK, Defense Ministry says. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 20, 2011","150","16","State-run Libya TV says 48 killed, 150 hurt in coalition air strikes. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 20, 2011","214","15","Heavy gunfire after explosions in Tripoli, Libya, early Sunday. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","317","15","Gadhafi says missile strikes on #Libya grounds for a ""crusade war."" http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","329","20","U.S., UK missiles struck 20 targets in #Libya, Pentagon says. http://on.cnn.com/egCFuF","","","","","1"
"","CNN Breaking News","Mar 19, 2011","200","14","Gadhafi says he'll open #Libya arms depots to the people. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","188","10","Gadhafi calls on #Libya people to take up arms in ""war zone."" http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","228","12","#Russia says it regrets coalition strikes against #Libya, urges end to violence. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","93","6","Police gather outside government buildings in #Libya capital. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","132","5","#Libya spokesman: Libya faces ""barbaric and armed attack."" http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","104","9","#Libya spokesman: Coalition attacks ""harm civilians."" http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","219","13","Official: Obama plans on U.S. involvement in military action on #Libya lasting only days. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 20, 2011","108","6","Tripoli woman says she heard blast at nearby #Libya air base. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 20, 2011","163","14","RAF jets strike #Libya after 3,000-mile flight from UK, Defense Ministry says. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 20, 2011","150","16","State-run Libya TV says 48 killed, 150 hurt in coalition air strikes. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 20, 2011","214","15","Heavy gunfire after explosions in Tripoli, Libya, early Sunday. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","317","15","Gadhafi says missile strikes on #Libya grounds for a ""crusade war."" http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","329","20","U.S., UK missiles struck 20 targets in #Libya, Pentagon says. http://on.cnn.com/egCFuF","","","","","1"
"","CNN Breaking News","Mar 19, 2011","200","14","Gadhafi says he'll open #Libya arms depots to the people. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","188","10","Gadhafi calls on #Libya people to take up arms in ""war zone."" http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","228","12","#Russia says it regrets coalition strikes against #Libya, urges end to violence. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","93","6","Police gather outside government buildings in #Libya capital. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","132","5","#Libya spokesman: Libya faces ""barbaric and armed attack."" http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","104","9","#Libya spokesman: Coalition attacks ""harm civilians."" http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","219","13","Official: Obama plans on U.S. involvement in military action on #Libya lasting only days. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","880","28","Pentagon: 110 Tomahawk cruise missiles fired on #Libya from U.S., British ships. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","207","7","British PM David Cameron says British forces are in action over #Libya. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","760","27","U.S. military launches cruise missiles against Gadhafi's forces in #Libya. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","280","13","U.S. defense official: U.S. prepared to enforce no-fly zone in #Libya with cruise missiles from warships. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","150","18","French using surveillance aircraft, 2 frigates in operation to protect #Libya civilians. http://on.cnn.com/htrK21","","","","","1"
"","CNN Breaking News","Mar 19, 2011","82","12","French Defense Ministry: Military planes treating #Libya town of Benghazi as 'exclusion zone.' http://on.cnn.com/htrK21","","","","","1"
"","CNN Breaking News","Mar 19, 2011","453","39","6 emergency workers in #quake-damaged Japan exposed to radiation equal to 10 chest X-rays per hour, utility says. http://on.cnn.com/h3ayCC","","","","","1"
"","CNN Breaking News","Mar 19, 2011","628","46","French planes opened fire on #Libya military vehicle, French Defense Ministry says. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","129","11","Hillary Clinton praises Arab League's stance on #Libya, saying it ""changed the diplomatic landscape."" http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","136","8","Hillary Clinton: #Libya government ""has lost all legitimacy."" http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","163","11","Italian prime minister proposes use of NATO base in Naples as command center for allied action in #Libya. http://on.cnn.com/htrK21","","","","","1"
"","CNN Breaking News","Mar 19, 2011","172","13","President Obama, speaking from Brazil: The people of #Libya must be protected."" http://on.cnn.com/htrK21","","","","","1"
"","CNN Breaking News","Mar 19, 2011","204","13","Sarkozy calls attacks on #Libya civilians ""murderous madness"" of regime that has ""forfeited all its legitimacy."" http://on.cnn.com/fYXEmM","","","","","1"
"","CNN Breaking News","Mar 19, 2011","266","16","France's Sarkozy confirms French jets sent to #Libya. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","400","22","French official confirms that French fighter jets are flying over #Libya. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","132","11","Gadhafi forces barrel into main rebel base of Benghazi, #Libya. http://on.cnn.com/dYmNlD","","","","","1"
"","CNN Breaking News","Mar 19, 2011","145","21","Tanks from pro-government and opposition sides head toward each other in Benghazi, Libya. http://on.cnn.com/htrK21","","","","","1"
"","CNN Breaking News","Mar 19, 2011","177","22","Gadhafi to Obama, Sarkozy: Butt out. http://on.cnn.com/grO2Tz","","","","","1"
"","CNN Breaking News","Mar 19, 2011","491","24","Death toll from #quake and #tsunami in Japan rises to 7,348. http://on.cnn.com/fAVZuj","","","","","1"
"","CNN Breaking News","Mar 19, 2011","166","20","Obama arrives in Brazil. http://on.cnn.com/ffy67p","","","","","1"
"","CNN Breaking News","Mar 19, 2011","142","20","Fighter jet shot down over rebel-held Libyan city. http://on.cnn.com/dZBemS","","","","","1"
"","CNN Breaking News","Mar 19, 2011","257","23","Man reported to be trapped in rubble of Japan quake was actually visiting home after spending days in shelter http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 19, 2011","188","19","Radiation exposure limit raised for workers at Japan's #quake hit nuclear plant http://on.cnn.com/eXn6I1","","","","","1"
"","CNN Breaking News","Mar 19, 2011","83","24","NRC tells U.S. nuclear plants to review Fukushima, take actions ""as appropriate"" http://on.cnn.com/hVbknY","","","","","1"
"","CNN Breaking News","Mar 19, 2011","291","34","Young man pulled from rubble in #Japan has no serious injuries, NHK reports http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 19, 2011","593","20","Quake, #tsunami death toll of 7,197 worst since World War II, NHK reports http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 19, 2011","410","25","Man found alive under rubble left by quake, #tsunami, Japan media reports http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 19, 2011","267","46","TEPCO exec bursts into tears after briefing on radiation at #quake damaged nuclear plant http://on.cnn.com/exc3ss","","","","","1"
"","CNN Breaking News","Mar 19, 2011","132","22","TEPCO apologizes to Japan for distress over #quake damaged nuclear reactors http://on.cnn.com/exc3ss","","","","","1"
"","CNN Breaking News","Mar 19, 2011","186","27","Utah officially adopts Browning M1911 pistol as state firearm http://on.cnn.com/ifLIzh","","","","","1"
"","CNN Breaking News","Mar 18, 2011","69","10","U.N. resolution on #Libya doesn't preclude arming rebels, U.S. ambassador says http://on.cnn.com/em25Kv","","","","","1"
"","CNN Breaking News","Mar 18, 2011","287","31","EPA: #Radiation in Calif. one-millionth what we get from rocks, the sun http://on.cnn.com/hkRv6O","","","","","1"
"","CNN Breaking News","Mar 18, 2011","91","13","#Libya calls for observers from China, Malta, Turkey, Germany to monitor cease-fire http://on.cnn.com/eEAOec","","","","","1"
"","CNN Breaking News","Mar 18, 2011","289","23","Japan quake and #tsunami aid and relief: How you can help http://on.cnn.com/fAXNkc","","","","","1"
"","CNN Breaking News","Mar 18, 2011","27","12","Letters of censure for Capt. Honors, 3 others over USS Enterprise video scandal http://on.cnn.com/e1haCg","","","","","1"
"","CNN Breaking News","Mar 18, 2011","152","14","U.S. troops will not be deployed in #Libya, Obama says http://on.cnn.com/dZBemS","","","","","1"
"","CNN Breaking News","Mar 18, 2011","143","8","Obama: If #Gadhafi doesn't comply, U.N. resolution will be imposed militarily http://on.cnn.com/dZBemS","","","","","1"
"","CNN Breaking News","Mar 18, 2011","75","10","Obama: ""Left unchecked ... Gadhafi (will) commit atrocities"" http://on.cnn.com/dZBemS","","","","","1"
"","CNN Breaking News","Mar 18, 2011","151","10","At least 28 people dead, hundreds wounded in fighting in #Libya cities, opposition spokesman says. http://on.cnn.com/dZBemS","","","","","1"
"","CNN Breaking News","Mar 18, 2011","123","3","Witnesses report riots in several cities in #Syria. http://on.cnn.com/gm9nqM","","","","","1"
"","CNN Breaking News","Mar 18, 2011","1K","62","Small amount of radiation from #Japan reaches California, official says. http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 19, 2011","267","46","TEPCO exec bursts into tears after briefing on radiation at #quake damaged nuclear plant http://on.cnn.com/exc3ss","","","","","1"
"","CNN Breaking News","Mar 19, 2011","132","22","TEPCO apologizes to Japan for distress over #quake damaged nuclear reactors http://on.cnn.com/exc3ss","","","","","1"
"","CNN Breaking News","Mar 19, 2011","186","27","Utah officially adopts Browning M1911 pistol as state firearm http://on.cnn.com/ifLIzh","","","","","1"
"","CNN Breaking News","Mar 18, 2011","69","10","U.N. resolution on #Libya doesn't preclude arming rebels, U.S. ambassador says http://on.cnn.com/em25Kv","","","","","1"
"","CNN Breaking News","Mar 18, 2011","287","31","EPA: #Radiation in Calif. one-millionth what we get from rocks, the sun http://on.cnn.com/hkRv6O","","","","","1"
"","CNN Breaking News","Mar 18, 2011","91","13","#Libya calls for observers from China, Malta, Turkey, Germany to monitor cease-fire http://on.cnn.com/eEAOec","","","","","1"
"","CNN Breaking News","Mar 18, 2011","289","23","Japan quake and #tsunami aid and relief: How you can help http://on.cnn.com/fAXNkc","","","","","1"
"","CNN Breaking News","Mar 18, 2011","27","12","Letters of censure for Capt. Honors, 3 others over USS Enterprise video scandal http://on.cnn.com/e1haCg","","","","","1"
"","CNN Breaking News","Mar 18, 2011","152","14","U.S. troops will not be deployed in #Libya, Obama says http://on.cnn.com/dZBemS","","","","","1"
"","CNN Breaking News","Mar 18, 2011","143","8","Obama: If #Gadhafi doesn't comply, U.N. resolution will be imposed militarily http://on.cnn.com/dZBemS","","","","","1"
"","CNN Breaking News","Mar 18, 2011","75","10","Obama: ""Left unchecked ... Gadhafi (will) commit atrocities"" http://on.cnn.com/dZBemS","","","","","1"
"","CNN Breaking News","Mar 18, 2011","151","10","At least 28 people dead, hundreds wounded in fighting in #Libya cities, opposition spokesman says. http://on.cnn.com/dZBemS","","","","","1"
"","CNN Breaking News","Mar 18, 2011","123","3","Witnesses report riots in several cities in #Syria. http://on.cnn.com/gm9nqM","","","","","1"
"","CNN Breaking News","Mar 18, 2011","1K","62","Small amount of radiation from #Japan reaches California, official says. http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 18, 2011","128","9","#Wisconsin judge blocks budget proposal. http://on.cnn.com/hUoAUw","","","","","1"
"","CNN Breaking News","Mar 18, 2011","118","6","Violence reported despite #Libya cease-fire announcement. http://on.cnn.com/dZBemS","","","","","1"
"","CNN Breaking News","Mar 18, 2011","168","15","Japan #quake aftershocks set record, agency says. http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 18, 2011","124","11","#Bahrain demolishes Pearl Monument, site of anti-government protests. http://on.cnn.com/hYE7yR","","","","","1"
"","CNN Breaking News","Mar 18, 2011","189","16","Sources: State of emergency declared in #Yemen. http://on.cnn.com/eHoivr","","","","","1"
"","CNN Breaking News","Mar 18, 2011","185","17","1,000 U.S. sailors moving from #Japan to Guam. http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 18, 2011","107","10","Nuclear evacuation zone sufficient, #Japan official says. http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 18, 2011","140","11","Libya to release 4 journalists, N.Y. Times reports. http://on.cnn.com/fsH9wm","","","","","1"
"","CNN Breaking News","Mar 18, 2011","154","18","Japan disaster may make buying Prius difficult. http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 18, 2011","151","10","33 reported killed in #Yemen protests. http://on.cnn.com/eeWSnS","","","","","1"
"","CNN Breaking News","Mar 18, 2011","180","14","Libya calls for cease-fire in civil war with ant-government forces. http://on.cnn.com/hBkjED","","","","","1"
"","CNN Breaking News","Mar 18, 2011","86","12","Governor of Japan's Miyagi prefecture asks residents to move to other areas during #quake recovery. http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 18, 2011","422","15","Death toll in the Japan #quake and tsunami rises to 6,911. http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 18, 2011","399","31","Japanese prime minister says nuclear plant situation ""very grave."" http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 18, 2011","143","14","Military action to take place ""swiftly"" against #Libya, France says. http://on.cnn.com/dZBemS","","","","","1"
"","CNN Breaking News","Mar 18, 2011","211","18","Japanese nuclear crisis on par with Three Mile Island incident, agency says. http://on.cnn.com/eXn6I1","","","","","1"
"","CNN Breaking News","Mar 18, 2011","269","22","Severity level of Japan nuclear accident increased. http://on.cnn.com/i3TCAg","","","","","1"
"","CNN Breaking News","Mar 18, 2011","399","18","One week after #quake, death toll in Japan exceeds 6,500 http://on.cnn.com/gxkYhG","","","","","1"
"","CNN Breaking News","Mar 18, 2011","156","25","Nissan scanning vehicles for radioactive material http://on.cnn.com/fZNJs0","","","","","1"
"","CNN Breaking News","Mar 18, 2011","159","14","#Japan resumes spraying reactor to avert nuclear crisis http://on.cnn.com/eXn6I1","","","","","1"
"","CNN Breaking News","Mar 18, 2011","371","32","TEPCO: Radiation 1,000 times typical chest X-ray near #quake damaged reactor http://on.cnn.com/geuDYC","","","","","1"
"","CNN Breaking News","Mar 18, 2011","49","10","Official: U.S. won't compensate CIA contractor's victims but would pay ""bill"" http://on.cnn.com/eG4JxU","","","","","1"
"","CNN Breaking News","Mar 18, 2011","131","18","G-7 nations agree to intervene in currency market to hold down #Japan yen http://on.cnn.com/eaZUng","","","","","1"
"","CNN Breaking News","Mar 18, 2011","129","23","Japan, IAEA give conflicting info on effort to restore power to unit No. 2 at nuclear plant http://on.cnn.com/hlKuSO","","","","","1"
"","CNN Breaking News","Mar 17, 2011","211","24","Diesel generator sending power to Units 5, 6 at #quake damaged Japan nuclear plant http://on.cnn.com/hlKuSO","","","","","1"
"","CNN Breaking News","Mar 17, 2011","356","26","U.N. Security Council votes to impose no-fly zone over #Libya http://on.cnn.com/eJWpu3","","","","","1"
"","CNN Breaking News","Mar 17, 2011","192","21","Power cable to Japan #quake damaged reactor unit No. 2 in place, IAEA says http://on.cnn.com/hlKuSO","","","","","1"
"","CNN Breaking News","Mar 17, 2011","90","16","Without U.N. resolution, U.S. won't act unilaterally on #Libya, Clinton says http://on.cnn.com/ft0QGX","","","","","1"
"","CNN Breaking News","Mar 17, 2011","105","11","New Orleans PD has used excessive force, profiling, Justice Dept. finds http://on.cnn.com/egH0oT","","","","","1"
"","CNN Breaking News","Mar 17, 2011","113","21","Obama: U.S., Pacific territories should be safe from #quake damaged reactor radiation http://on.cnn.com/geuDYC","","","","","1"
"","CNN Breaking News","Mar 17, 2011","49","6","Senate passes bill funding federal govt. through April 8, sends to Obama http://on.cnn.com/fWS2jL","","","","","1"
"","CNN Breaking News","Mar 17, 2011","186","14","House votes to bar funding for #NPR http://on.cnn.com/eXYEQS","","","","","1"
"","CNN Breaking News","Mar 17, 2011","62","10","Libyan Leader Moammar #Gadhafi calls Benghazi residents ""traitors"" http://on.cnn.com/f2wnf3","","","","","1"
"","CNN Breaking News","Mar 17, 2011","147","18","Nuclear Regulatory Commission chief: Little fear of harmful radiation reaching U.S. http://on.cnn.com/geuDYC","","","","","1"
"","CNN Breaking News","Mar 17, 2011","50","11","Suspect in Yale killing pleads guilty. http://on.cnn.com/gKzBwy","","","","","1"
"","CNN Breaking News","Mar 17, 2011","131","19","Thousands of U.S. military kin offered evacuation from #Japan. http://on.cnn.com/geuDYC","","","","","1"
"","CNN Breaking News","Mar 17, 2011","192","20","U.S. military begins voluntary evacuations for families in #Japan. http://on.cnn.com/geuDYC","1","","","","1"
"","CNN Breaking News","Mar 17, 2011","207","15","Temple University evacuating students from Japan. http://on.cnn.com/geuDYC","","","","","1"
"","CNN Breaking News","Mar 17, 2011","1.8K","105","Sandra Bullock gives $1M for Japan quake and tsunami aid. http://on.cnn.com/geuDYC","","","","","1"
"","CNN Breaking News","Mar 17, 2011","467","27","High radiation found 18 miles from #quake damaged nuclear plant. http://on.cnn.com/geuDYC","","","","","1"
"","CNN Breaking News","Mar 17, 2011","201","18","Fresh #quake aftershocks rock Japan. http://on.cnn.com/geuDYC","","","","","1"
"","CNN Breaking News","Mar 17, 2011","120","28","China trying to head off ""salt panic"" in wake of Japan nuclear crisis. http://on.cnn.com/geuDYC","","","","","1"
